AGENCYID,AGENCYTITLE,CLASSIFICATION,SERVICETYPE,FULLORPARTTIME,ANNUALSALARY
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,701.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$29,673.00 "
58030,OUS - Oregon State University,Coordinator-Academic Program 2,Other professionals,Full-Time,"$29,642.00 "
58030,OUS - Oregon State University,Senior Faculty Research Asst I,Faculty,Full-Time,"$29,640.00 "
58030,OUS - Oregon State University,Instructor (PAC),Faculty,Full-Time,"$29,619.00 "
58030,OUS - Oregon State University,Education Program Assistant 1,Classified Staff,Full-Time,"$29,599.00 "
58030,OUS - Oregon State University,Coordinator-Outreach Program,Other professionals,Full-Time,"$29,538.00 "
58030,OUS - Oregon State University,Manager 1-Retail Food,Executive/Admin and managerial,Full-Time,"$29,502.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$29,496.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$29,496.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$29,491.00 "
58030,OUS - Oregon State University,Coordinator-Academic Program 2,Other professionals,Full-Time,"$29,464.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$29,405.00 "
58030,OUS - Oregon State University,Coordinator-Ext Relations,Other professionals,Part-Time,"$29,400.00 "
58030,OUS - Oregon State University,Senior Faculty Research Asst I,Faculty,Full-Time,"$29,400.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Part-Time,"$29,400.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$29,363.00 "
58030,OUS - Oregon State University,Coordinator-Athletic Program,Other professionals,Full-Time,"$29,316.00 "
58030,OUS - Oregon State University,Assistant Professor (Sr Res),Faculty,Part-Time,"$29,235.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,188.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$29,187.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,187.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$29,187.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$29,030.00 "
58030,OUS - Oregon State University,Coordinator-Rec Sports,Other professionals,Full-Time,"$28,981.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$28,924.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$28,924.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$28,924.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Full-Time,"$28,924.00 "
58030,OUS - Oregon State University,Specialist 2-Counselor,Other professionals,Part-Time,"$28,912.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$28,848.00 "
58030,OUS - Oregon State University,Faculty Research Assistant,Faculty,Full-Time,"$28,800.00 "
58030,OUS - Oregon State University,Instructor,Faculty,Part-Time,"$28,798.00 "
58030,OUS - Oregon State University,Grounds Maintenance Worker 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Trades/Maintenance Worker 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Accounting Technician,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Laundry Worker,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 3,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Property Specialist 3,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Seed Analyst 1,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Grounds Maintenance Worker 1,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Administrative Program Spec,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Grounds Maintenance Worker 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Ship's Assistant Cook,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Library Technician 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Laboratory Technician 1,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Vet Central Svcs Tech,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Medical Records Specialist,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Accounting Technician,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 1,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Library Technician 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Administrative Program Assist,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 2,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Office Specialist 1,Classified Staff,Full-Time,"$28,752.00 "
58030,OUS - Oregon State University,Cook 2,Classified Staff,Full-Time,"$28,745.00 "
58030,OUS - Oregon State University,Bio Science Research Tech 2,Classified Staff,Full-Time,"$28,745.00 "
58030,OUS - Oregon State University,Cook 2,Classified Staff,Full-Time,"$28,745.00 "
58030,OUS - Oregon State University,Cook 2,Classified Staff,Full-Time,"$28,745.00 "
58030,OUS - Oregon State University,Cook 2,Classified Staff,Full-Time,"$28,745.00 "
58030,OUS - Oregon State University,Food Service Worker 3,Classified Staff,Full-Time,"$28,745.00 "
58030,OUS - Oregon State University,Food Service Worker 3,Classified Staff,Full-Time,"$28,745.00 "
58030,OUS - Oregon State University,Food Service Worker 3,Classified Staff,Full-Time,"$28,745.00 "
58030,OUS - Oregon State University,Cook 1,Classified Staff,Full-Time,"$28,745.00 "
58030,OUS - Oregon State University,Food Service Worker 3,Classified Staff,Full-Time,"$28,745.00 "
58030,OUS - Oregon State University,Cook 1,Classified Staff,Full-Time,"$28,745.00 "
58030,OUS - Oregon State University,Food Service Worker 3,Classified Staff,Full-Time,"$28,745.00 "
