AGENCYID,AGENCYTITLE,CLASSIFICATION,SERVICETYPE,FULLORPARTTIME,ANNUALSALARY
58090,OUS - Portland State University,SBA UT Salary Pool < .50,Faculty,Part-Time,"$3,332.00 "
58090,OUS - Portland State University,LIN UP Professor,Faculty,Full-Time,"$85,671.00 "
58090,OUS - Portland State University,Locksmith,Classified Staff,Full-Time,"$37,127.00 "
58090,OUS - Portland State University,Early Childhood Asso Teacher,Classified Staff,Full-Time,"$28,745.00 "
58090,OUS - Portland State University,ADM UP Admissions Counselor,Other professionals,Full-Time,"$40,008.00 "
58090,OUS - Portland State University,ART UT Salary Pool < .50,Faculty,Part-Time,"$9,996.00 "
58090,OUS - Portland State University,SBA UP Program Assistant,Other professionals,Full-Time,"$41,184.00 "
58090,OUS - Portland State University,Office Specialist 2,Classified Staff,Full-Time,"$38,916.00 "
58090,OUS - Portland State University,LIN UP Rsch Asst Professor,Faculty,Full-Time,"$70,824.00 "
58090,OUS - Portland State University,EDU UT CI Cohort Pool,Faculty,Part-Time,"$2,583.00 "
58090,OUS - Portland State University,CWP UP Senior Instructor I,Faculty,Full-Time,"$81,084.00 "
58090,OUS - Portland State University,ADM UP Admissions Counselor,Other professionals,Full-Time,"$40,008.00 "
58090,OUS - Portland State University,OSA UX Director Wmn Rsc Ctr,Other professionals,Full-Time,"$52,296.00 "
58090,OUS - Portland State University,FLL UP Asst Profe,Faculty,Full-Time,"$44,046.00 "
58090,OUS - Portland State University,ENG UP Asc Professor,Faculty,Full-Time,"$66,636.00 "
58090,OUS - Portland State University,Office Specialist 1,Classified Staff,Full-Time,"$24,939.00 "
58090,OUS - Portland State University,ART UT Salary Pool < .50,Faculty,Part-Time,"$6,664.00 "
58090,OUS - Portland State University,POL UP Associate Professor,Faculty,Full-Time,"$66,024.00 "
58090,OUS - Portland State University,SSW UT Salary Pool < .50,Faculty,Part-Time,"$2,499.00 "
58090,OUS - Portland State University,EEN UT Salary Pool < .50,Faculty,Part-Time,"$4,124.00 "
58090,OUS - Portland State University,FLL UT Salary Pool < .50,Faculty,Part-Time,"$5,868.00 "
58090,OUS - Portland State University,EDU UP Teacher Diversity Coord,Other professionals,Full-Time,"$54,000.00 "
58090,OUS - Portland State University,Instrument Technology Mechanic,Classified Staff,Full-Time,"$56,679.00 "
58090,OUS - Portland State University,TAD UP Professor,Faculty,Full-Time,"$94,131.00 "
58090,OUS - Portland State University,ENG UP Asc Professor,Faculty,Full-Time,"$45,349.00 "
58090,OUS - Portland State University,Research Analyst 1,Classified Staff,Full-Time,"$32,551.00 "
